0 0 0 2 0 19 0  0
1 0 0 2 1 0 0  0
2 0 0 2 0 18 0  1
3 0 0 2 1 1 0  1
4 0 1 0 0 15 0  10
5 0 1 0 1 4 0  10
6 0 2 2 0 19 0  11
7 0 2 2 1 0 0  11
8 0 2 2 0 16 0  12
9 0 2 2 1 3 0  12
10 0 2 1 0 19 0  13
11 0 2 1 1 0 0  13
12 0 2 1 0 17 0  14
13 0 2 1 1 2 0  14
14 0 2 1 0 14 0  15
15 0 2 1 1 5 0  15
16 0 2 0 0 19 0  16
17 0 2 0 1 0 0  16
18 0 2 0 0 17 0  17
19 0 2 0 1 2 0  17
20 0 2 0 0 14 0  18
21 0 2 0 1 5 0  18
22 0 3 3 0 19 0  19
23 0 3 3 1 0 0  19
24 0 0 0 0 19 0  2
25 0 0 0 1 0 0  2
26 0 3 3 0 17 0  20
27 0 3 3 1 2 0  20
28 0 3 3 0 15 0  21
29 0 3 3 1 4 0  21
30 0 3 3 0 13 0  22
31 0 3 3 1 6 0  22
32 0 3 2 0 19 0  23
33 0 3 2 1 0 0  23
34 0 3 2 0 16 0  24
35 0 3 2 1 3 0  24
36 0 3 2 0 13 0  25
37 0 3 2 1 6 0  25
38 0 3 1 0 18 0  26
39 0 3 1 1 1 0  26
40 0 3 1 0 15 0  27
41 0 3 1 1 4 0  27
42 0 3 1 0 13 0  28
43 0 3 1 1 6 0  28
44 0 3 0 0 18 0  29
45 0 3 0 1 1 0  29
46 0 1 3 0 19 0  3
47 0 1 3 1 0 0  3
48 0 3 0 0 15 0  30
49 0 3 0 1 4 0  30
50 0 3 0 0 12 0  31
51 0 3 0 1 7 0  31
52 0 4 3 0 16 0  32
53 0 4 3 1 3 0  32
54 0 4 3 0 12 0  33
55 0 4 3 1 7 0  33
56 0 4 2 0 14 0  34
57 0 4 2 1 5 0  34
58 0 4 1 0 16 0  35
59 0 4 1 1 3 0  35
60 0 4 1 0 12 0  36
61 0 4 1 1 7 0  36
62 0 1 3 0 18 0  4
63 0 1 3 1 1 0  4
64 0 1 1 0 19 0  5
65 0 1 1 1 0 0  5
66 0 1 1 0 18 0  6
67 0 1 1 1 1 0  6
68 0 1 1 0 15 0  7
69 0 1 1 1 4 0  7
70 0 1 0 0 19 0  8
71 0 1 0 1 0 0  8
72 0 1 0 0 18 0  9
